Agricultural zone,month(bij),month(chara),rainfall (mm),temperature(avg),humidity(avg),sunlight(hour),direction of wind(deg),velocity of wind(km/h),label count,label
2,3,3,1.53,20.41,60.42,57.92,218.37,6.28,6,khorip brinjal
2,3,3,9.68,29.22,58.14,58.72,234.86,13.56,6,khorip brinjal
2,3,3,6.8,24.39,57.43,58.19,215.96,9.6,6,khorip brinjal
2,3,3,9.8,28.81,70.05,62.86,236,7.32,6,khorip brinjal
2,3,3,9.92,26.62,63.32,60.59,220.77,11.66,6,khorip brinjal
2,3,3,0.74,24.65,59.79,62.28,216.94,6.28,6,khorip brinjal
2,3,3,5.81,26.28,53.88,64.57,220.71,8.29,6,khorip brinjal
2,3,3,1.7,20.91,71.29,63.28,222.79,4.68,6,khorip brinjal
3,4,4,21.3,27.8,76.7,56,209,10,6,khorip brinjal
3,4,4,25.43,30.59,68.07,58.28,206.91,13.97,6,khorip brinjal
3,4,4,18.31,31.27,80.45,55.19,211.94,13.75,6,khorip brinjal
3,4,4,20.04,25.9,83.68,59.34,198.94,6.72,6,khorip brinjal
3,4,4,23.51,27.47,76.62,59.38,200.69,3.6,6,khorip brinjal
3,4,4,26.89,29.68,68.76,52.85,203.37,7.84,6,khorip brinjal
3,4,4,26.86,28.42,82.43,58.79,212.75,10.43,6,khorip brinjal
3,4,4,19.06,29.81,83.89,56.73,213.37,9.81,6,khorip brinjal
3,4,4,26.09,29.14,75.19,56.95,214.25,6.7,6,khorip brinjal
3,4,4,16.74,28.46,80.42,52.72,211.54,16.67,6,khorip brinjal
3,4,4,25.35,32.21,68.81,57.93,211.66,16.28,6,khorip brinjal
3,4,4,22.48,23.96,77.12,59.09,216.17,17.83,6,khorip brinjal
3,4,4,24.86,26.24,82.77,59.07,205.82,10.11,6,khorip brinjal
3,4,4,18.7,28.73,73.81,59.99,208.05,8.69,6,khorip brinjal
3,4,4,19.16,23.17,78.35,58.41,198.99,13.36,6,khorip brinjal
3,4,4,28.11,23.83,84.9,59.53,202.07,12.91,6,khorip brinjal
4,4,4,25.5,27.8,76.4,51,194,7.1,6,khorip brinjal
4,4,4,17.55,26.71,71.79,49.92,205.73,3.84,6,khorip brinjal
4,4,4,31,24.83,70.42,49.8,190.91,12.53,6,khorip brinjal
4,4,4,26.19,29.81,80.95,54.27,188.99,10.66,6,khorip brinjal
4,4,4,30.88,31.33,80.06,50.97,201.74,9.27,6,khorip brinjal
4,4,4,17.53,32.77,68.73,52.8,192.57,0.38,6,khorip brinjal
4,4,4,26.7,24.44,80.53,49.72,192.56,0.3,6,khorip brinjal
4,4,4,27.82,23.29,78.06,49.96,186.61,3.93,6,khorip brinjal
4,4,4,18.71,23.6,71.64,47.91,195.46,3.17,6,khorip brinjal
4,4,4,20.91,29.45,68.44,53.67,190.47,13.64,6,khorip brinjal
4,4,4,29.63,27.59,70.96,48.51,182.83,2.78,6,khorip brinjal
4,4,4,29.47,31.58,67,54.46,188.9,14.24,6,khorip brinjal
4,4,4,30.16,31.6,80.15,54.79,203.94,4.88,6,khorip brinjal
4,4,4,32.9,32.44,78.82,52.93,195.61,0.61,6,khorip brinjal
4,4,4,32.5,29.1,83.55,52.83,196.01,2.07,6,khorip brinjal
4,4,4,30.16,32.2,74.71,54.36,195.53,3.03,6,khorip brinjal
5,3.25,3.25,9.5,26.1,62.5,58,223,5.7,6,khorip brinjal
5,3.25,3.25,2.54,27.76,58.42,55.45,234.23,2.58,6,khorip brinjal
5,3.25,3.25,16.51,30.18,59.55,58.61,230.86,11.82,6,khorip brinjal
5,3.25,3.25,7.98,28.54,58.99,56.33,215.96,4.96,6,khorip brinjal
5,3.25,3.25,8.03,21.1,60.11,54.25,220.15,12.61,6,khorip brinjal
5,3.25,3.25,4.74,26.39,64.11,54.54,218.19,10.02,6,khorip brinjal
5,3.25,3.25,8.33,28.82,60.75,54.91,224.22,7.21,6,khorip brinjal
5,3.25,3.25,15.83,26.98,66.28,61.62,217.88,11.33,6,khorip brinjal
5,3.25,3.25,11.42,23.21,64.28,54.53,215.83,5.45,6,khorip brinjal
5,3.25,3.25,12.67,30.7,53.88,57.7,230.55,0.6,6,khorip brinjal
5,3.25,3.25,15.82,27.93,65.09,56.94,234.28,11.76,6,khorip brinjal
5,3.25,3.25,15.25,24.62,65.34,56.99,222.06,0.7,6,khorip brinjal
5,3.25,3.25,2.1,29.63,59.3,59.54,216.26,0.53,6,khorip brinjal
5,3.25,3.25,5.52,27.57,66.26,56.17,216.85,0.86,6,khorip brinjal
5,3.25,3.25,4.95,22.28,68.8,55.5,224.6,0.49,6,khorip brinjal
5,3.25,3.25,9.07,23.2,55.97,61.05,225.35,0.14,6,khorip brinjal
8,3.25,3.25,4.5,26.3,63.9,55,230,4.1,6,khorip brinjal
8,3.25,3.25,0.04,28.5,71.29,57.11,241.92,2.7,6,khorip brinjal
8,3.25,3.25,0.72,28.67,54.71,57.11,232.65,11.57,6,khorip brinjal
8,3.25,3.25,5.08,26.88,59.11,57.83,221.23,6.24,6,khorip brinjal
8,3.25,3.25,0.68,24.05,63.59,52.83,235.3,0.13,6,khorip brinjal
8,3.25,3.25,1.68,22.87,69.7,58.24,233.92,11.35,6,khorip brinjal
8,3.25,3.25,3.34,30.75,59.21,55.02,231.71,2.21,6,khorip brinjal
8,3.25,3.25,6.94,29.21,61.94,52.52,220.85,2.7,6,khorip brinjal
8,3.25,3.25,3.04,24.55,65.13,57.69,232.99,11.32,6,khorip brinjal
8,3.25,3.25,9.1,21.48,71.11,56.93,221.75,5.05,6,khorip brinjal
8,3.25,3.25,9.04,23.47,71.41,52.82,229.62,4.99,6,khorip brinjal
8,3.25,3.25,2.44,24.51,57.42,55.49,231.59,0.3,6,khorip brinjal
8,3.25,3.25,3.97,21.89,58.57,53.31,223.46,3.49,6,khorip brinjal
8,3.25,3.25,7.42,24.85,56.53,51.83,224.17,3.37,6,khorip brinjal
8,3.25,3.25,6.03,23,56.95,55.83,240.78,1.12,6,khorip brinjal
8,3.25,3.25,8.31,24.09,68.72,54.72,226.77,9.88,6,khorip brinjal
12,5,5,102.5,26.7,78.5,45,153,7.1,6,khorip brinjal
12,5,5,102.79,30.82,74.57,45.47,146.96,8.41,6,khorip brinjal
12,5,5,101.87,27.36,77.6,41.12,154.63,6.09,6,khorip brinjal
12,5,5,107.78,23.57,76.75,45.96,157.93,13.33,6,khorip brinjal
12,5,5,109.09,22.14,83.27,45.89,158.49,13.03,6,khorip brinjal
12,5,5,108.83,28.39,87.38,46.15,142.15,2.4,6,khorip brinjal
12,5,5,100.87,26.66,84.26,48.38,148.37,9.84,6,khorip brinjal
12,5,5,104.88,24.72,69.5,48.19,143.99,7.06,6,khorip brinjal
12,5,5,100.01,24.98,88.46,42.3,154.11,10.91,6,khorip brinjal
12,5,5,96.29,30.22,73.31,46.17,144.25,6.45,6,khorip brinjal
12,5,5,108.36,29.74,80.44,47.95,156.69,6.75,6,khorip brinjal
12,5,5,97.06,23.83,76.85,48.99,147.84,2.35,6,khorip brinjal
12,5,5,100.74,27.51,71.17,43.19,152.85,0.93,6,khorip brinjal
12,5,5,103.89,27.44,74.34,46.61,159.78,0.72,6,khorip brinjal
12,5,5,98.48,25.92,70.36,43.55,158.71,14.72,6,khorip brinjal
12,5,5,101.76,25.82,82.7,47.56,141.5,8.89,6,khorip brinjal
10,5,5,24,29.6,71.1,52,136,7.4,6,khorip brinjal
10,5,5,30.15,25.94,65.74,49.82,140.19,14.75,6,khorip brinjal
10,5,5,28.05,26.25,79.95,52.18,138.25,6.09,6,khorip brinjal
10,5,5,31.36,26.4,77.99,53.79,129,10.86,6,khorip brinjal
10,5,5,19.12,30.95,63.1,53.83,128.2,14.24,6,khorip brinjal
10,5,5,22.27,28.9,66.71,52.19,141.21,0.53,6,khorip brinjal
10,5,5,17.57,32.97,77.23,51.08,126.68,8.87,6,khorip brinjal
10,5,5,23.48,27.22,77.14,53.85,147.57,11.72,6,khorip brinjal
10,5,5,21.65,29.79,79.96,51.21,134.79,3.45,6,khorip brinjal
10,5,5,18.61,34.15,78.59,49.66,128.31,6.43,6,khorip brinjal
10,5,5,24.93,29.52,77.47,55.14,146.43,6.83,6,khorip brinjal
10,5,5,24.9,34.46,77.86,52.61,130.18,5.57,6,khorip brinjal
10,5,5,21.08,27.97,79.38,54.13,147.87,1.73,6,khorip brinjal
10,5,5,22.56,25.06,72.54,52.18,132.87,0.58,6,khorip brinjal
10,5,5,16.01,28.45,76.35,54.69,134.27,6.66,6,khorip brinjal
10,5,5,21.13,25.51,66.47,54.31,124.84,15.38,6,khorip brinjal
9,3.25,3.25,6,24.8,67.4,53,208,5.6,6,khorip brinjal
9,3.25,3.25,12.1,22.64,57.49,56.71,208.57,2.19,6,khorip brinjal
9,3.25,3.25,13.88,24.68,61.68,50.23,210.49,10.5,6,khorip brinjal
9,3.25,3.25,11.32,20.59,67.74,52.72,217.58,5.44,6,khorip brinjal
9,3.25,3.25,13.98,25.19,62.49,52.11,199.35,7.4,6,khorip brinjal
9,3.25,3.25,6.14,22.93,70.86,51.21,210.47,3.27,6,khorip brinjal
9,3.25,3.25,1.02,27.84,58.19,55.74,204.33,3.79,6,khorip brinjal
9,3.25,3.25,6.15,20.28,76.18,54.54,210.7,8.59,6,khorip brinjal
9,3.25,3.25,10.43,26.9,70.23,52.81,216.62,6.58,6,khorip brinjal
9,3.25,3.25,12.98,27.46,67.72,53.58,207.27,2.91,6,khorip brinjal
9,3.25,3.25,7.21,22.99,62.9,54.45,206.75,5.89,6,khorip brinjal
9,3.25,3.25,1.32,25.23,59.42,53.62,202.93,4.16,6,khorip brinjal
9,3.25,3.25,5.23,21.67,59.61,56.87,212.71,0.45,6,khorip brinjal
9,3.25,3.25,12.52,25.74,76.44,56.96,213.16,11.17,6,khorip brinjal
9,3.25,3.25,0.6,29.1,64.15,56.38,206.7,1.32,6,khorip brinjal
9,3.25,3.25,0.78,27.41,62.43,51.32,208.41,5.81,6,khorip brinjal
14,6,6,52,30.7,79.5,41.5,178,6.7,6,khorip brinjal
14,6,6,49.11,35.64,72.43,37.57,186.75,12.03,6,khorip brinjal
14,6,6,45.41,27.79,77.25,42.08,167.41,4.16,6,khorip brinjal
14,6,6,55.45,31.02,88.13,38.47,180.92,0.43,6,khorip brinjal
14,6,6,59.43,27.02,85.78,41.6,185.45,1.78,6,khorip brinjal
14,6,6,53.7,32.37,72.49,40.63,182.94,13.26,6,khorip brinjal
14,6,6,57.66,26.52,81.25,44.42,175.99,9.13,6,khorip brinjal
14,6,6,50.8,28.84,86.03,39.53,183.59,11.71,6,khorip brinjal
14,6,6,44.17,26.25,79.45,39.2,189.04,0.22,6,khorip brinjal
14,6,6,47.55,34.95,88.93,43.08,176.91,5.26,6,khorip brinjal
14,6,6,47.27,28.14,83.28,37.81,178.36,3.13,6,khorip brinjal
14,6,6,45.04,35.08,71.29,42.81,170.54,8.76,6,khorip brinjal
14,6,6,53.78,33.16,71.2,41.08,179.92,12.51,6,khorip brinjal
14,6,6,50.97,26.02,80.58,41.13,186.4,6.39,6,khorip brinjal
14,6,6,48.09,30.31,80.93,41.91,173.61,5.44,6,khorip brinjal
14,6,6,56.9,26.93,71.06,44.55,168.4,6.6,6,khorip brinjal
1,12,12,0,21.4,70.9,54,222,3.7,7,sugarcane
1,12,12,0.17,24.25,65.17,55.99,210.55,5.38,7,sugarcane
1,12,12,7.39,25.16,79.9,55.34,223.41,6.99,7,sugarcane
1,12,12,3.08,17.17,65.49,56.4,217.38,8.72,7,sugarcane
1,12,12,1.24,24.42,69.67,51.46,211.87,3.37,7,sugarcane
1,12,12,0.56,19.49,80.33,56.13,217.65,6.74,7,sugarcane
1,12,12,2.33,21.78,70.56,57.84,224.44,9.3,7,sugarcane
1,12,12,4.02,22.62,69.82,54.36,232.01,3.85,7,sugarcane
1,12,12,0.65,16.41,73.82,52.77,215.26,2.3,7,sugarcane
1,12,12,6.36,16.63,80.53,55.86,219.7,8.97,7,sugarcane
1,12,12,0.87,17.99,66.29,56.3,229.4,2.87,7,sugarcane
1,12,12,1,22.74,62.46,54.22,224.07,2.39,7,sugarcane
1,12,12,2.37,17.49,66.83,56.27,219.9,6.63,7,sugarcane
1,12,12,1.96,18.2,74.35,54.77,232.39,1.04,7,sugarcane
1,12,12,4.26,19.26,75.2,52.32,229.69,1.65,7,sugarcane
1,12,12,5.66,24.64,62.95,57.87,224.78,6.49,7,sugarcane
2,12,12,0,21.4,70.9,54,222,3.7,7,sugarcane
2,12,12,0.17,24.25,65.17,55.99,210.55,5.38,7,sugarcane
2,12,12,7.39,25.16,79.9,55.34,223.41,6.99,7,sugarcane
2,12,12,3.08,17.17,65.49,56.4,217.38,8.72,7,sugarcane
2,12,12,1.24,24.42,69.67,51.46,211.87,3.37,7,sugarcane
2,12,12,0.56,19.49,80.33,56.13,217.65,6.74,7,sugarcane
2,12,12,2.33,21.78,70.56,57.84,224.44,9.3,7,sugarcane
2,12,12,4.02,22.62,69.82,54.36,232.01,3.85,7,sugarcane
2,12,12,0.65,16.41,73.82,52.77,215.26,2.3,7,sugarcane
2,12,12,6.36,16.63,80.53,55.86,219.7,8.97,7,sugarcane
2,12,12,0.87,17.99,66.29,56.3,229.4,2.87,7,sugarcane
2,12,12,1,22.74,62.46,54.22,224.07,2.39,7,sugarcane
2,12,12,2.37,17.49,66.83,56.27,219.9,6.63,7,sugarcane
2,12,12,1.96,18.2,74.35,54.77,232.39,1.04,7,sugarcane
2,12,12,4.26,19.26,75.2,52.32,229.69,1.65,7,sugarcane
2,12,12,5.66,24.64,62.95,57.87,224.78,6.49,7,sugarcane
3,11,11,19.3,27.1,78.6,52.3,196,6,7,sugarcane
3,11,11,20.92,30.15,73.85,55.25,185.14,6.1,7,sugarcane
3,11,11,15.86,26.67,87.06,50.8,184.36,1.83,7,sugarcane
3,11,11,15.24,25.91,71.53,55.13,188.79,8.66,7,sugarcane
3,11,11,20.44,23.19,87.88,55.66,193.58,5.94,7,sugarcane
3,11,11,20.08,24.64,75.1,51.35,206.7,9.33,7,sugarcane
3,11,11,12.81,25.79,82.96,54.07,206.36,0.22,7,sugarcane
3,11,11,26.31,22.88,76.05,48.41,192.43,5.62,7,sugarcane
3,11,11,21.6,30.41,83.59,49.27,207.76,0.14,7,sugarcane
3,11,11,17.09,27.27,82.23,49.67,196.6,0.7,7,sugarcane
3,11,11,15.94,22.46,88.52,48.99,191.6,9.64,7,sugarcane
3,11,11,14.78,31.04,77.06,51.3,196.1,0.6,7,sugarcane
3,11,11,25.7,30.35,86.63,48.91,194.95,8.64,7,sugarcane
3,11,11,17.21,25.87,83.46,51.04,195.01,4.13,7,sugarcane
3,11,11,24.65,31.21,85.36,54.78,191.77,0.24,7,sugarcane
3,11,11,14.53,25.39,80.91,48.88,190.16,0.47,7,sugarcane
4,11,11,11.5,26.4,77.9,47,202,3.5,7,sugarcane
4,11,11,17.01,26.89,72.07,44.24,196.9,1.32,7,sugarcane
4,11,11,5.82,28.84,84.4,43.81,195.85,2.88,7,sugarcane
4,11,11,9.22,30.24,71.14,43.19,213.45,3.2,7,sugarcane
4,11,11,19.33,29.13,81.15,50.94,204.52,9.77,7,sugarcane
4,11,11,13.04,30.89,73.59,47.15,202.25,5.91,7,sugarcane
4,11,11,5.57,23.85,85.44,48.66,190.77,2.61,7,sugarcane
4,11,11,3.84,23.89,84.64,45.63,199.31,2.3,7,sugarcane
4,11,11,6.86,23.72,86.37,45.98,195.96,1.66,7,sugarcane
4,11,11,5.29,29.79,82.63,50.3,206.35,2,7,sugarcane
4,11,11,16.5,24.87,87.31,44.24,193.83,0.8,7,sugarcane
4,11,11,17.8,23.13,79.08,46.55,202.08,9.56,7,sugarcane
4,11,11,17.22,23.25,80.92,44.68,199.03,3.82,7,sugarcane
4,11,11,13.05,22.05,81.04,49.01,197.48,11.26,7,sugarcane
4,11,11,17.81,28.79,80.72,46.23,210.72,4.47,7,sugarcane
4,11,11,11.61,21.6,79.18,46.32,196.84,7.76,7,sugarcane
5,11,11,12.5,26.2,74.6,49.5,190,3.7,7,sugarcane
5,11,11,14.07,27.81,80.75,46.99,193.16,5.61,7,sugarcane
5,11,11,18.81,22.15,83.88,52.88,180.04,7.66,7,sugarcane
5,11,11,6.6,30.46,83.95,50.67,182.93,1.81,7,sugarcane
5,11,11,8.08,27.45,80.02,46.93,196.18,5.86,7,sugarcane
5,11,11,11.97,22.04,70.14,52.87,190,9.96,7,sugarcane
5,11,11,15.39,23.12,76.48,49.77,189.55,1.34,7,sugarcane
5,11,11,11.69,28.28,83.44,47.07,191.31,10.4,7,sugarcane
5,11,11,6.24,30.2,67.56,46.29,179.42,1.33,7,sugarcane
5,11,11,10.82,25.76,78.59,53.17,201.31,4.03,7,sugarcane
5,11,11,16.77,29.07,76.91,53.25,180.59,2.83,7,sugarcane
5,11,11,5.1,22.59,70.1,51.43,184.77,9.67,7,sugarcane
5,11,11,7.41,23.23,82.1,50.94,183.29,11.02,7,sugarcane
5,11,11,19.41,28.4,83.72,50.53,199.67,4.01,7,sugarcane
5,11,11,20.02,30.47,81.92,48.92,194.46,9.38,7,sugarcane
5,11,11,10.08,30.89,65.36,49.01,188.15,1.06,7,sugarcane
6,11,11,5,24.9,75.7,55,149,3.5,7,sugarcane
6,11,11,9.86,28.56,82.96,56.15,138.64,3.27,7,sugarcane
6,11,11,5.67,27.07,70.13,57.63,152.39,9.55,7,sugarcane
6,11,11,1.14,24.59,82.85,55.75,149.12,7,7,sugarcane
6,11,11,10.45,28.94,80.61,58.47,146.38,4.15,7,sugarcane
6,11,11,11.19,23.5,85.21,54.07,160.41,11.15,7,sugarcane
6,11,11,7.82,21.37,66.87,51.16,143.67,8.77,7,sugarcane
6,11,11,5.28,25.6,85.62,53.7,147.66,8.85,7,sugarcane
6,11,11,12.67,29.01,74.76,55.09,159.75,1.8,7,sugarcane
6,11,11,10.33,29.55,68.94,55.58,141.97,1.73,7,sugarcane
6,11,11,8.01,22.06,74.33,58.03,151.37,1.67,7,sugarcane
6,11,11,3.67,21.51,73.31,58.4,153.73,6.99,7,sugarcane
6,11,11,0.12,25.26,74.08,51.71,141.49,1.95,7,sugarcane
6,11,11,10.42,25.79,74.41,53.91,139.8,7.16,7,sugarcane
6,11,11,4.58,26.95,80.76,55.71,159.77,7.33,7,sugarcane
6,11,11,2.86,27.35,70.02,54.97,151.29,1.89,7,sugarcane
7,10.5,10.5,43,28,79.3,46,208,2.9,7,sugarcane
7,10.5,10.5,37.17,26.16,75.75,46.28,198.63,4.3,7,sugarcane
7,10.5,10.5,40.82,26.8,84.68,44.48,213.4,3.06,7,sugarcane
7,10.5,10.5,46.19,26.74,73.64,47.95,203.87,10.67,7,sugarcane
7,10.5,10.5,36.65,26.78,84.72,49.05,209.52,0.18,7,sugarcane
7,10.5,10.5,49.09,23.61,82.9,43.29,203.6,3.18,7,sugarcane
7,10.5,10.5,45.39,30.83,85.11,46.98,203.71,0.93,7,sugarcane
7,10.5,10.5,37.41,29.11,84.91,43.33,200.83,2.11,7,sugarcane
7,10.5,10.5,48.24,24.13,87.55,45.28,197.39,3.86,7,sugarcane
7,10.5,10.5,47.06,32.76,69.83,46.62,206.69,1.98,7,sugarcane
7,10.5,10.5,42.4,25.1,74.07,45.77,218.98,0.52,7,sugarcane
7,10.5,10.5,39.65,24.32,88.98,43.4,196.28,2.94,7,sugarcane
7,10.5,10.5,36.44,31.58,70.71,42.71,215.41,9.72,7,sugarcane
7,10.5,10.5,36.39,27.8,74.38,47.4,212.8,9.59,7,sugarcane
7,10.5,10.5,42.71,30.51,73.95,47.01,218.75,1.56,7,sugarcane
7,10.5,10.5,40.59,31.63,85.82,42.38,215.81,4.95,7,sugarcane
8,10,10,44.56,29.1,81.7,40,195,3.1,7,sugarcane
8,10,10,41.67,24.45,87.76,39.35,185.44,0.55,7,sugarcane
8,10,10,51.57,28.62,89.03,42.86,186.18,5.66,7,sugarcane
8,10,10,46.69,25.69,87.13,38.66,186.74,6.11,7,sugarcane
8,10,10,40.21,24.53,80.19,36.21,194.82,2.23,7,sugarcane
8,10,10,44.02,31.79,77.56,38.42,184.06,4.66,7,sugarcane
8,10,10,49.48,31.72,80.76,36.31,193.44,3.88,7,sugarcane
8,10,10,48.82,32.91,72.48,38.55,186.51,9.26,7,sugarcane
8,10,10,37.74,24.29,74.19,36.96,200.09,2.67,7,sugarcane
8,10,10,50.69,29.55,90.32,36.65,192.39,1.71,7,sugarcane
8,10,10,36.9,32.45,80.23,36.54,199.44,3.98,7,sugarcane
8,10,10,51.36,27.11,74.45,43.13,192,1.04,7,sugarcane
8,10,10,49.31,25.35,75.64,41.67,203.96,8.25,7,sugarcane
8,10,10,47.16,30.66,76.25,36.91,185.74,4.84,7,sugarcane
8,10,10,46.59,27.04,85.68,38.09,185.46,1.44,7,sugarcane
8,10,10,40.33,30.99,86.62,42.44,185.01,0.71,7,sugarcane
14,11.5,11.5,8,24.7,73.6,52.5,189,3.8,7,sugarcane
14,11.5,11.5,7.45,24.29,76.54,55.63,196.22,7.91,7,sugarcane
14,11.5,11.5,6.2,27.01,64.52,50.22,193.29,0.09,7,sugarcane
14,11.5,11.5,11.7,22.81,67.49,50.17,188.55,2.98,7,sugarcane
14,11.5,11.5,11.28,23.58,76.07,55.89,193.25,2.46,7,sugarcane
14,11.5,11.5,1.51,24.69,73.11,49.8,199.74,11.66,7,sugarcane
14,11.5,11.5,14.69,25.28,78.59,53.04,181.83,11.28,7,sugarcane
14,11.5,11.5,12.04,26.93,80.92,49.06,181.56,7.38,7,sugarcane
14,11.5,11.5,12.01,22.35,75.83,53.94,178.6,8.57,7,sugarcane
14,11.5,11.5,6.76,22.39,76.36,54.63,194.41,4.05,7,sugarcane
14,11.5,11.5,15.8,28.17,70.53,54.59,185.28,1.44,7,sugarcane
14,11.5,11.5,8.38,27.43,71.2,54.12,200.27,11.51,7,sugarcane
14,11.5,11.5,2.38,26.02,66.36,53.23,187.98,8.36,7,sugarcane
14,11.5,11.5,15.6,27.21,74.83,54.14,183.66,10.86,7,sugarcane
14,11.5,11.5,1.24,20.05,83,54.38,189.83,3.75,7,sugarcane
14,11.5,11.5,13.69,27.81,74.23,49.46,187.48,7.35,7,sugarcane
9,11,11,7,25.9,78,51,186,3.7,7,sugarcane
9,11,11,8.87,23.3,68.31,52.69,176.86,10.59,7,sugarcane
9,11,11,1.35,22.7,75.73,50.77,193.78,2.12,7,sugarcane
9,11,11,14.74,28.03,73.38,50.42,193.93,3.89,7,sugarcane
9,11,11,3.42,20.92,78.55,50.97,195.53,0.82,7,sugarcane
9,11,11,1.92,26.15,75.89,52.28,191.03,3.91,7,sugarcane
9,11,11,3.67,22.88,83.78,54.8,187.39,3.92,7,sugarcane
9,11,11,7.07,29.92,68.53,48,197.03,9.4,7,sugarcane
9,11,11,6.98,26.19,85.62,49.63,189.85,3.37,7,sugarcane
9,11,11,0.69,24.6,76.7,48.31,196.99,11.66,7,sugarcane
9,11,11,8.48,22.67,82.02,52.83,185.12,3.57,7,sugarcane
9,11,11,14.14,21.94,76.18,48.87,183.27,0.09,7,sugarcane
9,11,11,4.22,23.1,69.43,48.12,182.86,3.7,7,sugarcane
9,11,11,4.24,25.05,68.15,53.08,180.19,7.98,7,sugarcane
9,11,11,11.87,30.08,79.78,54.86,187.61,2.71,7,sugarcane
9,11,11,3.08,21.04,68.82,48.91,175.57,6.14,7,sugarcane
10,10.5,10.5,23,28.9,81.9,46,145,4.8,7,sugarcane
10,10.5,10.5,20,32.51,84.4,44.89,139.62,2.54,7,sugarcane
10,10.5,10.5,22.13,30.47,79.6,45.95,145.69,8.32,7,sugarcane
10,10.5,10.5,24.57,26.13,76.94,49,144.32,12.8,7,sugarcane
10,10.5,10.5,26.4,28.06,82.42,45.12,156.81,6.25,7,sugarcane
10,10.5,10.5,27.74,24.45,83.2,47.38,155.95,3.53,7,sugarcane
10,10.5,10.5,20.08,24.65,80.53,43.71,150.66,6.89,7,sugarcane
10,10.5,10.5,23.28,26.67,84.63,46.82,139.87,3.92,7,sugarcane
10,10.5,10.5,27.41,30.9,84.69,42.52,153.15,0.72,7,sugarcane
10,10.5,10.5,22.87,28.42,73.35,42.04,147.95,2.08,7,sugarcane
10,10.5,10.5,27.5,33.48,88.56,45.58,139.12,8.03,7,sugarcane
10,10.5,10.5,22.04,27.86,86.29,43.19,143.02,4.35,7,sugarcane
10,10.5,10.5,27.14,28.52,82.57,49.11,147.53,1.34,7,sugarcane
10,10.5,10.5,23.7,31.12,79.77,42.37,133.25,8.3,7,sugarcane
11,11,11,9,26.7,79.5,47,178,3.7,7,sugarcane
11,11,11,5.68,27.21,83.04,45.03,178.77,11.7,7,sugarcane
11,11,11,9.4,26.58,89.07,48.63,186.67,7.7,7,sugarcane
11,11,11,3.42,28.57,77.08,44.93,170.92,1.02,7,sugarcane
11,11,11,8.51,23.29,89.36,45.85,185.16,5.16,7,sugarcane
11,11,11,8.2,26.59,84.16,49.73,174.25,8.94,7,sugarcane
11,11,11,9.43,29.3,70.41,49.81,168.26,3.45,7,sugarcane
11,11,11,7.69,26.67,71.59,47,170.11,8.81,7,sugarcane
11,11,11,14.19,27.27,84.64,48.61,176.26,0.1,7,sugarcane
11,11,11,6.63,30.96,81.89,49.08,184.71,8.97,7,sugarcane
11,11,11,4.16,24.52,80.51,44.75,172.53,7.99,7,sugarcane
11,11,11,3.19,28.15,81.99,48.04,188.27,4.9,7,sugarcane
11,11,11,9.25,23.28,80.48,50.31,181.87,6.06,7,sugarcane
11,11,11,12.4,26.92,89.41,48.91,175.31,6.39,7,sugarcane
11,11,11,3.64,24.31,85.89,47.59,177.24,1.73,7,sugarcane
11,11,11,13.89,26.16,82.01,48.53,170.29,9.17,7,sugarcane
13,11,11,4,25,76.6,55.5,115,6.6,7,sugarcane
13,11,11,2.22,27.98,73.91,58.21,114.07,13.67,7,sugarcane
13,11,11,0.28,23.9,81.99,58.55,119.98,10.09,7,sugarcane
13,11,11,2.38,28.88,73.91,54.22,106.75,1.58,7,sugarcane
13,11,11,6,29.9,76.92,56.8,114.51,14.44,7,sugarcane
13,11,11,3.97,20.86,76.02,55.18,124.52,2.93,7,sugarcane
13,11,11,5.8,20.68,82.58,56.34,109.51,6.8,7,sugarcane
13,11,11,10.16,24.05,86.49,52.87,104.64,10.27,7,sugarcane
13,11,11,1,27.94,71.69,58.67,106.23,11.32,7,sugarcane
13,11,11,11.26,23.27,77.43,54.89,121.52,6.19,7,sugarcane
13,11,11,2.9,25.56,82.99,57.82,104.59,5.84,7,sugarcane
13,11,11,1.46,23.92,84.07,57.21,116.38,8.34,7,sugarcane
13,11,11,8.63,24.66,67,52.69,118.56,5.79,7,sugarcane
13,11,11,8.93,26.5,74.73,52.61,119.72,2.52,7,sugarcane
13,11,11,9.82,22.75,68.5,56.36,111.46,5.9,7,sugarcane
13,11,11,5.36,29.49,68.34,53.98,114.89,3.45,7,sugarcane
1,1,1,1.3,18.9,74.1,46.7,209,4.5,8,soybean
1,1,1,2.01,16.9,66.84,44.64,203.75,6.28,8,soybean
1,1,1,5.43,17.52,82.61,45.04,200.92,8.56,8,soybean
1,1,1,1.39,23.7,67.4,45.79,202.61,0.1,8,soybean
1,1,1,2.97,22.57,78.18,46.41,214.44,1.06,8,soybean
1,1,1,4.85,23.25,74.39,47.16,204.53,3.09,8,soybean
1,1,1,4.47,22.16,78.73,49.42,202.81,1.35,8,soybean
1,1,1,2.35,15.23,75.81,49.14,204.58,7.66,8,soybean
1,1,1,0.16,20.54,65.68,43.52,215.99,1.16,8,soybean
1,1,1,0.09,20.63,83.21,48.1,202.52,3.03,8,soybean
1,1,1,3.57,20.2,82.45,49.84,206.52,6.35,8,soybean
